,Text,Sentiment,clean_text
0, Enjoying a beautiful day at the park!              ,Positive,enjoying beautiful day park
1, Traffic was terrible this morning.                 ,Negative,traffic terrible morning
2, Just finished an amazing workout! 💪               ,Positive,finished amazing workout
3, Excited about the upcoming weekend getaway!        ,Positive,excited upcoming weekend getaway
4, Trying out a new recipe for dinner tonight.        ,Neutral,trying new recipe dinner tonight
5, Feeling grateful for the little things in life.    ,Positive,feeling grateful little thing life
6, Rainy days call for cozy blankets and hot cocoa.   ,Positive,rainy day call cozy blanket hot cocoa
7, The new movie release is a must-watch!             ,Positive,new movie release mustwatch
8, Political discussions heating up on the timeline.  ,Negative,political discussion heating timeline
9, Missing summer vibes and beach days.               ,Neutral,missing summer vibe beach day
10, Just published a new blog post. Check it out!      ,Positive,published new blog post check
11, Feeling a bit under the weather today.             ,Negative,feeling bit weather today
12, Exploring the city's hidden gems.                  ,Positive,exploring city hidden gem
13," New year, new fitness goals! 💪                    ",Positive,new year new fitness goal
14, Technology is changing the way we live.            ,Neutral,technology changing way live
15, Reflecting on the past and looking ahead.          ,Positive,reflecting past looking ahead
16, Just adopted a cute furry friend! 🐾              ,Positive,adopted cute furry friend
17, Late-night gaming session with friends.            ,Positive,latenight gaming session friend
18, Attending a virtual conference on AI.              ,Neutral,attending virtual conference
19, Winter blues got me feeling low.                   ,Negative,winter blue got feeling low
20, Sipping coffee and enjoying a good book.           ,Positive,sipping coffee enjoying good book
21, Exploring the world of virtual reality.            ,Positive,exploring world virtual reality
22, Productive day ticking off my to-do list.          ,Positive,productive day ticking todo list
23, Just finished a challenging workout routine.       ,Positive,finished challenging workout routine
24, Celebrating a milestone at work! 🎉               ,Positive,celebrating milestone work
25, Sunday brunch with friends.                        ,Positive,sunday brunch friend
26, Learning a new language for personal growth.       ,Positive,learning new language personal growth
27, Quiet evening with a good book.                    ,Positive,quiet evening good book
28, Reflecting on the importance of mental health.     ,Positive,reflecting importance mental health
29, New painting in progress! 🎨                       ,Positive,new painting progress
30, Weekend road trip to explore scenic views.         ,Positive,weekend road trip explore scenic view
31, Enjoying a cup of tea and watching the sunset.     ,Positive,enjoying cup tea watching sunset
32, Coding a new project with enthusiasm.              ,Positive,coding new project enthusiasm
33, Feeling inspired after attending a workshop.       ,Positive,feeling inspired attending workshop
34, Winter sports day at the local park.               ,Positive,winter sport day local park
35, Quality time with family this weekend.             ,Positive,quality time family weekend
36, Attending a live music concert tonight.            ,Positive,attending live music concert tonight
37, Practicing mindfulness with meditation.            ,Positive,practicing mindfulness meditation
38, Trying out a new dessert recipe.                   ,Positive,trying new dessert recipe
39, Excited about the upcoming gaming tournament.      ,Positive,excited upcoming gaming tournament
40, Planning a garden makeover for spring.             ,Positive,planning garden makeover spring
41, Celebrating a friend's birthday tonight! 🎂       ,Positive,celebrating friend birthday tonight
42, Feeling accomplished after a productive day.       ,Positive,feeling accomplished productive day
43, A cozy evening with a good movie.                 ,Positive,cozy evening good movie
44, Exploring local art galleries this weekend.        ,Positive,exploring local art gallery weekend
45, New book release from my favorite author!          ,Positive,new book release favorite author
46, Attending a virtual reality meetup.                ,Positive,attending virtual reality meetup
47, Reflecting on the beauty of nature.                ,Positive,reflecting beauty nature
48, Cooking a special dinner for loved ones.           ,Positive,cooking special dinner loved one
49, Feeling optimistic about the week ahead.           ,Positive,feeling optimistic week ahead
50, Starting a new fitness challenge tomorrow! 💪     ,Positive,starting new fitness challenge tomorrow
51, Sunday bike ride through scenic trails.           ,Positive,sunday bike ride scenic trail
52, Can't believe the injustice happening in our society.,Negative,cant believe injustice happening society
53, Feeling a sense of fear after watching a thriller movie. ,Negative,feeling sense fear watching thriller movie
54, Heartbroken after hearing the news about a natural disaster. ,Negative,heartbroken hearing news natural disaster
55, The state of the world's environment is just disgusting. ,Negative,state world environment disgusting
56, Pure happiness: celebrating a loved one's achievement! ,Positive,pure happiness celebrating loved one achievement
57, Laughter is the best medicine—enjoying a comedy show. ,Positive,laughter best medicineenjoying comedy show
58, Sharing love and positive vibes with everyone! ❤️      ,Positive,sharing love positive vibe everyone
59, An amusing incident brightened up my day!               ,Positive,amusing incident brightened day
60, Enjoying a quiet evening with a book and some tea.      ,Positive,enjoying quiet evening book tea
61, Admiring the beauty of nature during a peaceful hike.   ,Positive,admiring beauty nature peaceful hike
62, Sending affectionate vibes to all my followers!          ,Positive,sending affectionate vibe follower
63, Experiencing awe at the breathtaking sunset.            ,Positive,experiencing awe breathtaking sunset
64, Disappointed with the service at a local restaurant.    ,Negative,disappointed service local restaurant
65, A surprise gift from a friend made my day!              ,Neutral,surprise gift friend made day
66, Finding acceptance in the midst of life's challenges.   ,Neutral,finding acceptance midst life challenge
67, Overflowing with adoration for my adorable pet! 🐾      ,Positive,overflowing adoration adorable pet
68, Anticipating a thrilling adventure in the coming weeks. ,Positive,anticipating thrilling adventure coming week
69, A bitter experience turned into a valuable lesson.      ,Negative,bitter experience turned valuable lesson
70, Finding calmness in the midst of a busy day.            ,Positive,finding calmness midst busy day
71, Confusion clouds my mind as I navigate through decisions.,Neutral,confusion cloud mind navigate decision
72, Excitement building up for the upcoming vacation!       ,Positive,excitement building upcoming vacation
73, Kindness witnessed today restored my faith in humanity. ,Positive,kindness witnessed today restored faith humanity
74, Pride in achieving a personal milestone.               ,Positive,pride achieving personal milestone
75, A moment of shame for not standing up against injustice. ,Negative,moment shame standing injustice
76, Fuming with anger after a heated argument.            ,Negative,fuming anger heated argument
77, The fear of the unknown is keeping me up at night.    ,Negative,fear unknown keeping night
78, Heartfelt sadness after bidding farewell to a dear friend. ,Negative,heartfelt sadness bidding farewell dear friend
79, The state of corruption in our society is utterly disgusting. ,Negative,state corruption society utterly disgusting
80, Overflowing happiness: welcoming a new family member!  ,Positive,overflowing happiness welcoming new family member
81, Laughter is the key to joy—attending a stand-up comedy show. ,Positive,laughter key joyattending standup comedy show
82, Sending love to all my followers on this beautiful day! ❤️ ,Positive,sending love follower beautiful day
83, Amused by the antics of my pet—it's pure amusement!      ,Positive,amused antic petits pure amusement
84, Enjoying every moment of this trip—pure enjoyment!      ,Positive,enjoying every moment trippure enjoyment
85, Admiring the dedication of volunteers at a local charity. ,Positive,admiring dedication volunteer local charity
86, Sending affectionate vibes to friends and family.        ,Positive,sending affectionate vibe friend family
87, Awe-struck by the beauty of the night sky.               ,Positive,awestruck beauty night sky
88, Disappointed with the lack of progress in a personal project. ,Negative,disappointed lack progress personal project
89, A surprise visit from an old friend brought tears of joy. ,Neutral,surprise visit old friend brought tear joy
90, Embracing acceptance of life's ups and downs.           ,Neutral,embracing acceptance life ups down
91, Overflowing adoration for a cute rescue puppy! 🐶       ,Positive,overflowing adoration cute rescue puppy
92, Anticipating the release of a much-awaited movie.       ,Positive,anticipating release muchawaited movie
93, Bitter experience at the customer service department.   ,Negative,bitter experience customer service department
94, Finding calmness amidst the chaos of daily life.        ,Positive,finding calmness amidst chaos daily life
95, Confusion reigns as I try to make sense of recent events.,Neutral,confusion reign try make sense recent event
96, Excitement building up for a surprise birthday party.   ,Positive,excitement building surprise birthday party
97, Witnessed an act of kindness that made my day.          ,Positive,witnessed act kindness made day
98, Pride in completing a challenging fitness challenge.    ,Positive,pride completing challenging fitness challenge
99, A moment of shame for not speaking up against injustice.,Negative,moment shame speaking injustice
100, Reflecting on the beauty of diversity in our world.     ,Neutral,reflecting beauty diversity world
101, Excitement for a quiet evening with a good book.        ,Positive,excitement quiet evening good book
102, Feeling bitter about the unfairness in the workplace.   ,Negative,feeling bitter unfairness workplace
103, Calmness prevails as I practice mindfulness.            ,Positive,calmness prevails practice mindfulness
104, Confusion surrounds me as I navigate through life's choices. ,Neutral,confusion surround navigate life choice
105, Excitement for a weekend road trip to explore new places. ,Positive,excitement weekend road trip explore new place
106, Kindness witnessed today restores my faith in humanity.  ,Positive,kindness witnessed today restores faith humanity
107, Pride in accomplishing personal and professional goals.  ,Positive,pride accomplishing personal professional goal
108, Shame for not being true to my values in a difficult situation.,Negative,shame true value difficult situation
109," Revisiting old memories, feeling a sense of elation. ",Positive,revisiting old memory feeling sense elation
110, The victory of our team brought euphoria to the city. ,Positive,victory team brought euphoria city
111," Embracing the beauty of nature, a moment of contentment. ",Positive,embracing beauty nature moment contentment
112," Meditating by the serene lake, finding inner peace.   ",Positive,meditating serene lake finding inner peace
113, Overflowing with gratitude for life's blessings.      ,Positive,overflowing gratitude life blessing
114," Hopeful for a brighter tomorrow, despite challenges.  ",Positive,hopeful brighter tomorrow despite challenge
